#% Simulator for Communication System: Unterminated, Non-circular, MAP-decoded Convolutional Code (16320,8160) - NRC code (nu=6, rate 1/2, G=[1011011, 1111001]), Straight Mapper (Vector) [16320], BPSK blockmodem, AWGN channel, random input
#% Confidence Level: 95%
#% Convergence Mode: Margin of error within ±5% of result
#% Date: 28 Nov 2013, 12:29:15
#% URL: https://guinevere.res.um.edu.mt/svn/shared/Programming/branches/jab
#% Version: 10298
#
# Par	SER_0	Tol	FER_0	Tol	Samples	CPUtime
1.5	0.0148198	0.000231727	1	0	128	5.20496
1.6	0.0119303	0.000208218	1	0	128	10.1924
1.7	0.00984988	0.000189393	1	0	128	15.2457
1.8	0.00805568	0.000171432	1	0	128	20.2483
1.9	0.00609969	0.000149322	1	0	128	25.2247
2	0.00479665	0.000132502	1	0	128	30.1937
2.1	0.00425475	0.000124827	0.984375	0.0214849	128	35.138
2.2	0.00297469	0.000104441	0.992188	0.0152523	128	40.4754
2.3	0.00245481	9.49015e-05	0.976562	0.0262089	128	45.3926
2.4	0.00176949	6.36891e-05	0.882927	0.0440111	205	53.2325
2.5	0.00155488	5.97085e-05	0.882927	0.0440111	205	60.9721
2.6	0.00115781	3.68008e-05	0.793532	0.0395679	402	76.4136
2.7	0.000815938	2.7623e-05	0.753479	0.037664	503	96.445
2.8	0.000587354	1.70915e-05	0.61945	0.0309394	946	134.156
2.9	0.000492804	1.37752e-05	0.557283	0.0278492	1222	181.858
3	0.000381272	1.04981e-05	0.485872	0.0242783	1628	246.758
3.1	0.000277983	7.34356e-06	0.387881	0.0193896	2426	345.06
3.2	0.000222421	5.97837e-06	0.344145	0.0172053	2929	463.204
3.3	0.000172258	4.51123e-06	0.278363	0.0139173	3984	621.664
3.4	0.000125382	3.30381e-06	0.22138	0.0110663	5407	844.396
3.5	9.29534e-05	2.47431e-06	0.176997	0.00884851	7147	1144.54
3.6	7.56435e-05	2.03315e-06	0.151381	0.007569	8614	1506.55
3.7	5.62114e-05	1.52513e-06	0.119023	0.00595046	11376	1986.73
3.8	4.23056e-05	1.16276e-06	0.094501	0.00472399	14730	2605.52
3.9	3.06617e-05	8.75456e-07	0.0754527	0.00377216	18833	3390.41
4	2.32245e-05	6.79156e-07	0.0609206	0.00304495	23703	4380.87
4.1	1.8216e-05	5.41817e-07	0.0499812	0.00249887	29211	5604.25
4.2	1.36474e-05	4.21402e-07	0.0407419	0.00203708	36179	7116.06
4.3	1.10545e-05	3.51151e-07	0.0351388	0.0017567	42204	8877.43
4.4	8.39607e-06	2.72717e-07	0.0281123	0.00140533	53144	11101.3
#% Simulator for Communication System: Terminated, Non-circular, MAP-decoded Convolutional Code (16332,8160) - NRC code (nu=6, rate 1/2, G=[1011011, 1111001]), Straight Mapper (Vector) [16332], BPSK blockmodem, AWGN channel, random input
#% Confidence Level: 95%
#% Convergence Mode: Margin of error within ±5% of result
#% Date: 29 Nov 2013, 11:27:45
#% URL: https://guinevere.res.um.edu.mt/svn/shared/Programming/branches/jab
#% Version: 10242
#
# Par	SER_0	Tol	FER_0	Tol	Samples	CPUtime
1.5	0.0146093	0.000226587	1	0	132	11.7791
1.6	0.011486	0.000198981	1	0	135	25.3472
1.7	0.00984825	0.000180436	1	0	141	32.409
1.8	0.0070865	0.000146187	1	0	155	45.4777
1.9	0.00624218	0.000143914	1	0	141	50.4373
2	0.00458508	0.000123884	0.992857	0.0139497	140	52.1385
2.1	0.00416852	0.000121675	0.984848	0.0208389	132	36.4317
2.2	0.00287447	9.2412e-05	0.974684	0.0244936	158	60.9818
2.3	0.00238518	8.67066e-05	0.95302	0.0339752	149	46.0065
2.4	0.00173289	5.97646e-05	0.885965	0.041258	228	75.629
2.5	0.00143827	4.97656e-05	0.860806	0.041061	273	65.2611
2.6	0.00112709	3.59101e-05	0.805353	0.0382776	411	84.2189
2.7	0.00084982	2.55777e-05	0.720131	0.0355968	611	90.2461
2.8	0.000630457	1.70194e-05	0.610352	0.0298693	1024	125.975
2.9	0.000450272	1.17144e-05	0.5	0.0249399	1544	168.53
3	0.0003431	9.06018e-06	0.441281	0.0219432	1967	208.644
3.1	0.000256784	6.5698e-06	0.355	0.0177241	2800	282.977
3.2	0.000200877	5.00125e-06	0.289683	0.0144607	3780	367.645
3.3	0.000157423	3.8454e-06	0.235482	0.0117479	5011	482.04
3.4	0.000111491	2.71169e-06	0.177385	0.00886232	7137	681.25
3.5	8.06981e-05	1.96551e-06	0.135564	0.00676618	9833	899.771
3.6	5.79377e-05	1.43726e-06	0.104294	0.00521345	13203	1205.38
3.7	4.14864e-05	1.01757e-06	0.0753407	0.00376679	18861	1684.24
3.8	2.87042e-05	7.27021e-07	0.0567182	0.00283535	25565	2296.25
3.9	2.19547e-05	5.44508e-07	0.0422559	0.00211183	34859	3065.95
4	1.71107e-05	4.2218e-07	0.0329033	0.00164463	45193	4102.94
4.1	1.08409e-05	2.74284e-07	0.0221561	0.00110763	67837	6054.08
4.2	8.09114e-06	2.049e-07	0.0166547	0.000832734	90725	8030.5
