#% Simulator for Communication System: Uncoded Representation (16320x2), Straight Mapper (Vector) [16320], BPSK blockmodem, AWGN channel, random input
#% Confidence Level: 95%
#% Convergence Mode: Margin of error within ±5% of result
#% Date: 28 Nov 2013, 12:29:11
#% URL: https://guinevere.res.um.edu.mt/svn/shared/Programming/branches/jab
#% Version: 10298
#
# Par	SER_0	Tol	FER_0	Tol	Samples	CPUtime
1.5	0.0465887	0.000285801	1	0	128	1.63593
1.6	0.0446629	0.000280114	1	0	128	3.26934
1.7	0.0425034	0.000273567	1	0	128	4.90526
1.8	0.0407385	0.000268073	1	0	128	6.53554
1.9	0.039174	0.00026309	1	0	128	8.17097
2	0.037523	0.000257707	1	0	128	9.80123
2.1	0.0361697	0.000253195	1	0	128	11.4353
2.2	0.0342544	0.000246645	1	0	128	13.0667
2.3	0.0325104	0.000240501	1	0	128	14.7036
2.4	0.0310135	0.000235081	1	0	128	16.3357
2.5	0.0298943	0.000230933	1	0	128	17.9735
2.6	0.0282595	0.000224719	1	0	128	19.6058
2.7	0.0267975	0.000218994	1	0	128	21.2428
2.8	0.0253499	0.000213155	1	0	128	22.8745
2.9	0.0242082	0.000208422	1	0	128	24.511
3	0.0227496	0.000202196	1	0	128	26.1428
3.1	0.0216194	0.000197223	1	0	128	27.782
3.2	0.0204221	0.000191802	1	0	128	29.4135
3.3	0.0192775	0.000186458	1	0	128	31.0505
3.4	0.0182359	0.000181447	1	0	128	32.6833
3.5	0.016917	0.00017488	1	0	128	34.3223
3.6	0.0160166	0.00017024	1	0	128	35.9544
3.7	0.0153215	0.000166564	1	0	128	37.6215
3.8	0.0142913	0.000160951	1	0	128	39.2423
3.9	0.0132707	0.000155178	1	0	128	40.8115
4	0.0123822	0.000149961	1	0	128	42.2436
4.1	0.0116211	0.000145334	1	0	128	43.6813
4.2	0.0109873	0.000141361	1	0	128	45.1344
4.3	0.0103578	0.000137295	1	0	128	46.5707
4.4	0.00940659	0.000130902	1	0	128	48.0035
4.5	0.00878045	0.00012651	1	0	128	49.4384
4.6	0.00806095	0.00012126	1	0	128	50.872
4.7	0.00753102	0.000117238	1	0	128	52.3042
4.8	0.00691684	0.000112391	1	0	128	53.733
4.9	0.0064118	0.000108237	1	0	128	55.1638
5	0.00594602	0.000104256	1	0	128	56.5921
5.1	0.00549652	0.000100261	1	0	128	58.0343
5.2	0.00505563	9.61767e-05	1	0	128	59.4628
5.3	0.00457883	9.15512e-05	1	0	128	60.8933
5.4	0.004058	8.62097e-05	1	0	128	62.3213
5.5	0.00381913	8.36439e-05	1	0	128	63.9184
5.6	0.00348786	7.99473e-05	1	0	128	65.5053
5.7	0.00322361	7.68694e-05	1	0	128	66.9435
5.8	0.00292777	7.32681e-05	1	0	128	68.3714
5.9	0.00265539	6.97862e-05	1	0	128	69.802
6	0.0023471	6.56204e-05	1	0	128	71.2305
6.1	0.00210631	6.21708e-05	1	0	128	72.6613
6.2	0.00191148	5.92314e-05	1	0	128	74.0917
6.3	0.00174632	5.66195e-05	1	0	128	75.5229
6.4	0.00153426	5.3076e-05	1	0	128	77.0652
6.5	0.00138059	5.03519e-05	1	0	128	78.6624
6.6	0.00124512	4.78209e-05	1	0	128	80.3186
6.7	0.00112496	4.54577e-05	1	0	128	81.8113
6.8	0.001023	4.33509e-05	1	0	128	83.4761
6.9	0.000858322	3.9712e-05	1	0	128	84.9459
7	0.000757793	3.73159e-05	1	0	128	86.3801
7.1	0.000695195	3.46754e-05	1	0	136	87.9059
7.2	0.000614337	3.06336e-05	1	0	154	89.8573
7.3	0.000512508	2.55987e-05	1	0	184	91.9737
7.4	0.000462099	2.30292e-05	1	0	205	94.34
7.5	0.00039431	1.97026e-05	0.995816	0.00818351	239	97.2171
7.6	0.000354566	1.76768e-05	1	0	267	100.345
7.7	0.000292145	1.45889e-05	0.987616	0.0120606	323	104.282
7.8	0.000265465	1.32654e-05	0.988732	0.0109797	355	108.319
7.9	0.000218007	1.08977e-05	0.967593	0.0166984	432	113.577
8	0.000188104	9.39999e-06	0.958084	0.0175478	501	119.825
8.1	0.000155256	7.75861e-06	0.924217	0.0210536	607	126.898
8.2	0.000138092	6.9032e-06	0.887097	0.0237517	682	134.595
8.3	0.000113469	5.67234e-06	0.842169	0.0248031	830	143.924
8.4	0.000101443	5.06954e-06	0.818084	0.024807	929	154.867
8.5	8.60641e-05	4.30104e-06	0.738813	0.0260186	1095	167.236
8.6	6.83943e-05	3.41913e-06	0.684822	0.0245385	1377	183.629
8.7	5.61927e-05	2.80917e-06	0.606205	0.0233914	1676	203.104
8.8	4.91539e-05	2.4573e-06	0.539144	0.0223195	1916	225.682
8.9	4.04549e-05	2.02243e-06	0.492268	0.0203084	2328	253.466
9	3.45104e-05	1.72526e-06	0.433126	0.0185907	2729	285.374
9.1	2.6672e-05	1.3334e-06	0.347777	0.015709	3531	328.476
9.2	2.2312e-05	1.11544e-06	0.306562	0.0139092	4221	378.331
9.3	1.8757e-05	9.37714e-07	0.265684	0.0122174	5021	438.957
9.4	1.47063e-05	7.35208e-07	0.212367	0.0100168	6404	514.933
9.5	1.19063e-05	5.95231e-07	0.17598	0.0083919	7910	608.116
9.6	9.77568e-06	4.88715e-07	0.146357	0.00705812	9634	722.118
